Id,Score
5,4.0
11,4.0
17,4.0
46,0.0
47,5.0
48,2.0
55,5.0
59,0.0
78,3.0
79,0.0
80,0.0
91,3.0
95,0.0
97,3.0
104,5.0
107,2.0
109,1.0
111,0.0
134,5.0
145,4.0
147,2.0
151,0.0
155,1.0
161,4.0
168,1.0
186,2.0
188,4.0
197,1.0
200,2.0
201,0.0
210,3.0
211,0.0
212,3.0
220,0.0
224,2.0
226,0.0
232,2.0
235,3.0
236,4.0
241,4.0
243,3.0
277,0.0
291,4.0
293,2.0
303,5.0
337,0.0
338,4.0
342,3.0
344,2.0
355,4.0
365,5.0
366,0.0
368,1.0
377,5.0
387,0.0
391,5.0
394,4.0
402,1.0
403,1.0
412,0.0
413,0.0
421,3.0
422,5.0
432,0.0
441,2.0
444,1.0
460,0.0
470,1.0
476,0.0
480,1.0
485,1.0
492,4.0
494,2.0
502,0.0
505,2.0
519,4.0
521,2.0
525,1.0
526,4.0
532,1.0
534,3.0
539,5.0
542,0.0
555,1.0
558,5.0
560,2.0
565,4.0
573,3.0
589,0.0
594,3.0
598,1.0
602,3.0
611,3.0
615,5.0
622,3.0
624,1.0
638,0.0
641,3.0
642,2.0
643,1.0
644,1.0
648,2.0
657,4.0
661,4.0
662,1.0
666,5.0
674,2.0
678,0.0
681,2.0
683,1.0
686,5.0
688,4.0
689,1.0
690,4.0
695,4.0
699,1.0
711,4.0
715,0.0
716,5.0
722,1.0
725,0.0
727,1.0
734,4.0
740,4.0
750,0.0
754,2.0
757,1.0
762,0.0
763,1.0
767,4.0
769,3.0
772,0.0
777,4.0
780,2.0
787,2.0
795,5.0
808,3.0
816,5.0
818,1.0
820,0.0
824,5.0
825,5.0
836,0.0
839,2.0
840,4.0
842,3.0
846,3.0
848,3.0
853,3.0
866,0.0
871,4.0
874,1.0
878,3.0
884,4.0
893,4.0
895,4.0
903,5.0
904,4.0
905,5.0
906,0.0
908,5.0
910,2.0
922,2.0
924,5.0
926,2.0
931,5.0
934,5.0
936,3.0
945,1.0
950,3.0
966,5.0
969,1.0
973,4.0
976,4.0
979,3.0
984,1.0
985,3.0
987,1.0
990,2.0
991,1.0
993,2.0
998,5.0
1006,1.0
1008,3.0
1033,0.0
1034,4.0
1043,1.0
1047,2.0
1053,5.0
1057,3.0
1062,5.0
1063,4.0
1068,1.0
1077,3.0
1089,0.0
1096,4.0
1099,2.0
1107,0.0
1108,4.0
1112,4.0
1120,5.0
1126,1.0
1127,0.0
1130,4.0
1146,0.0
1156,3.0
1161,0.0
1175,4.0
1180,1.0
1185,1.0
1192,4.0
1193,1.0
1194,1.0
1195,4.0
1212,3.0
1214,3.0
1229,4.0
1230,2.0
1232,3.0
1236,4.0
1240,3.0
1242,0.0
1249,4.0
1252,1.0
1262,1.0
1267,5.0
1275,4.0
1280,4.0
1284,3.0
1285,0.0
1296,1.0
1307,5.0
1317,2.0
1320,2.0
1321,5.0
1323,1.0
1328,4.0
1332,0.0
1340,5.0
1343,1.0
1344,5.0
1346,2.0
1348,0.0
1356,2.0
1361,4.0
1362,1.0
1369,0.0
1373,5.0
1379,3.0
1381,5.0
1383,3.0
1404,1.0
1408,0.0
1419,3.0
1424,4.0
1426,1.0
1427,4.0
1428,2.0
1442,0.0
1443,3.0
1448,0.0
1450,3.0
1453,5.0
1464,2.0
1471,3.0
1479,4.0
1484,4.0
1488,0.0
1489,4.0
1496,1.0
1502,4.0
1504,2.0
1506,3.0
1507,4.0
1513,3.0
1527,4.0
1537,1.0
1539,3.0
1540,1.0
1560,4.0
1568,3.0
1579,3.0
1580,3.0
1581,5.0
1588,4.0
1596,5.0
1601,3.0
1611,2.0
1619,2.0
1621,5.0
1625,2.0
1636,5.0
1640,1.0
1645,5.0
1646,0.0
1647,4.0
1648,4.0
1649,1.0
1653,0.0
1654,4.0
1659,5.0
1662,4.0
1663,1.0
1670,1.0
1677,0.0
1679,3.0
1685,5.0
1695,5.0
1707,3.0
1714,5.0
1744,5.0
1746,4.0
1748,5.0
1769,1.0
1774,4.0
1814,3.0
1826,2.0
1833,3.0
1834,5.0
1836,3.0
1843,3.0
1848,5.0
1849,0.0
1852,4.0
1853,2.0
1865,3.0
1870,1.0
1871,2.0
1873,3.0
1880,2.0
1884,5.0
1888,0.0
1890,4.0
1896,5.0
1904,5.0
1910,5.0
1913,4.0
1924,4.0
1951,5.0
1952,1.0
1964,4.0
1972,0.0
1974,4.0
1977,3.0
1978,1.0
2001,3.0
2005,3.0
2009,4.0
2012,4.0
2018,0.0
2020,4.0
2024,4.0
2031,3.0
2033,2.0
2037,2.0
2047,4.0
2059,4.0
2061,2.0
2062,0.0
2063,2.0
2064,5.0
2066,4.0
2067,0.0
2070,3.0
2074,4.0
2080,4.0
2084,3.0
2087,4.0
2089,2.0
2090,0.0
2091,4.0
2092,3.0
2095,2.0
2099,0.0
2103,1.0
2110,0.0
2112,0.0
2121,1.0
2132,1.0
2154,0.0
2161,2.0
2167,0.0
2174,3.0
2178,0.0
2181,4.0
2205,1.0
2212,4.0
2213,1.0
2225,1.0
2232,0.0
2259,5.0
2264,5.0
2265,1.0
2274,0.0
2304,3.0
2322,0.0
2324,2.0
2328,3.0
2331,3.0
2332,2.0
2335,1.0
2340,3.0
2343,0.0
2347,4.0
2350,2.0
2355,1.0
2357,5.0
2358,1.0
2367,1.0
2372,1.0
2378,0.0
2382,0.0
2384,4.0
2388,2.0
2391,3.0
2392,3.0
2395,1.0
2414,3.0
2418,3.0
2437,3.0
2441,4.0
2442,5.0
2448,5.0
2450,4.0
2456,1.0
2457,3.0
2464,4.0
2467,5.0
2469,0.0
2470,1.0
2475,0.0
2497,1.0
2503,3.0
2510,1.0
2515,4.0
2526,0.0
2536,4.0
2537,4.0
2538,5.0
2545,0.0
2548,0.0
2558,5.0
2567,3.0
2569,2.0
2583,0.0
2584,4.0
2596,0.0
2599,2.0
2606,1.0
2608,3.0
2609,3.0
2611,5.0
2612,5.0
2613,0.0
2619,5.0
2623,0.0
2632,3.0
2649,0.0
2662,4.0
2667,5.0
2676,4.0
2688,4.0
2690,4.0
2692,4.0
2698,5.0
2701,2.0
2702,1.0
2711,2.0
2718,5.0
2730,0.0
2739,0.0
2742,2.0
2743,3.0
2746,0.0
2749,1.0
2763,3.0
2772,5.0
2773,1.0
2774,1.0
2776,1.0
2780,2.0
2785,0.0
2787,1.0
2796,0.0
2803,3.0
2805,1.0
2808,0.0
2809,4.0
2820,3.0
2822,4.0
2823,0.0
2824,2.0
2833,4.0
2836,3.0
2841,2.0
2842,1.0
2851,2.0
2858,0.0
2860,3.0
2861,2.0
2865,0.0
2868,5.0
2875,2.0
2876,4.0
2882,4.0
2892,2.0
2899,4.0
2904,1.0
2911,4.0
2930,5.0
2937,2.0
2940,3.0
2958,5.0
2960,2.0
2968,2.0
2975,2.0
2984,5.0
2985,3.0
2987,4.0
2991,3.0
2993,5.0
2994,3.0
2995,3.0
2996,5.0
3000,4.0
3001,2.0
3003,1.0
3008,0.0
3029,0.0
3035,2.0
3040,4.0
3041,4.0
3042,5.0
3061,2.0
3062,5.0
3063,0.0
3068,3.0
3069,5.0
3086,1.0
3088,3.0
3090,5.0
3092,2.0
3102,5.0
3103,1.0
3105,3.0
3114,2.0
3115,0.0
3116,5.0
3120,4.0
3121,3.0
3140,3.0
3143,5.0
3146,5.0
3147,0.0
3150,1.0
3153,2.0
3160,1.0
3179,0.0
3182,1.0
3193,2.0
3196,1.0
3201,1.0
3203,3.0
3204,2.0
3232,1.0
3240,0.0
3242,1.0
3243,4.0
3249,5.0
3261,5.0
3265,5.0
3277,0.0
3281,0.0
3302,5.0
3318,1.0
3320,5.0
3327,1.0
3328,5.0
3340,0.0
3342,0.0
3348,4.0
3353,2.0
3358,1.0
3360,5.0
3364,3.0
3369,3.0
3372,5.0
3384,5.0
3385,1.0
3387,4.0
3399,5.0
3400,2.0
3406,0.0
3408,5.0
3410,4.0
3412,2.0
3422,1.0
3427,1.0
3429,1.0
3432,4.0
3439,2.0
3455,1.0
3465,2.0
3474,1.0
3477,3.0
3481,3.0
3487,2.0
3489,4.0
3494,2.0
3500,1.0
3501,4.0
3514,5.0
3515,4.0
3516,5.0
3526,5.0
3528,5.0
3529,5.0
3537,2.0
3540,0.0
3545,0.0
3556,0.0
3557,4.0
3559,0.0
3564,4.0
3573,5.0
3576,5.0
3578,0.0
3591,0.0
3596,5.0
3598,3.0
3599,5.0
3609,2.0
3613,3.0
3641,4.0
3644,4.0
3659,1.0
3660,0.0
3666,3.0
3667,5.0
3671,0.0
3672,5.0
3673,5.0
3675,0.0
3699,4.0
3700,4.0
3703,1.0
3711,2.0
3722,0.0
3726,4.0
3728,1.0
3746,1.0
3748,5.0
3759,3.0
3773,3.0
3780,1.0
3794,5.0
3799,4.0
3828,2.0
3834,4.0
3836,5.0
3846,0.0
3853,2.0
3854,5.0
3869,4.0
3874,4.0
3885,3.0
3900,1.0
3902,1.0
3903,2.0
3908,0.0
3909,5.0
3913,3.0
3939,2.0
3940,1.0
3945,5.0
3950,5.0
3968,0.0
3981,1.0
3982,0.0
3992,5.0
3999,2.0
4008,2.0
4011,1.0
4039,5.0
4053,5.0
4055,1.0
4072,0.0
4074,4.0
4080,0.0
4081,2.0
4082,4.0
4083,1.0
4087,3.0
4091,5.0
4094,5.0
4099,0.0
4112,0.0
4116,5.0
4126,4.0
4127,0.0
4134,0.0
4137,2.0
4138,5.0
4147,1.0
4150,4.0
4158,0.0
4161,5.0
4162,5.0
4163,3.0
4174,3.0
4192,0.0
4195,3.0
4198,1.0
4204,2.0
4205,2.0
4208,5.0
4215,0.0
4216,3.0
4217,0.0
4218,1.0
4223,4.0
4224,2.0
4240,2.0
4248,3.0
4252,0.0
4255,4.0
4257,4.0
4285,5.0
4288,2.0
4293,0.0
4308,5.0
4309,3.0
4311,2.0
4313,4.0
4319,3.0
4335,5.0
4349,4.0
